Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,21284063.540691547,-73.4167815189986
150,7638131.791355073,-80.69154582785247
250,4861911.13338238,-84.83946840498348
350,3536060.4668371044,-87.0888423570603
450,2804642.598408057,-89.2027092495607
550,2342683.6998909633,-91.67283144807007
650,1973903.010545189,-93.90467644703824
750,1728299.5343875238,-96.23079111581377
850,1516763.7211635886,-98.29412762049377
950,1389687.6739984895,-99.91413622225488
1050,1261944.7384795542,-101.52008467302454
